total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
2500, 8980, 2505, 8980, 95000, 1, 411, 10089
2500, 8980, 2505, 8980, 95000, 2, 815, 9429
2500, 8980, 2505, 8980, 95000, 3, 1219, 9129
2500, 8980, 2505, 8980, 95000, 4, 1623, 9174
2500, 8980, 2505, 8980, 95000, 5, 2027, 9240
2500, 8980, 2505, 8980, 95000, 6, 2431, 9162
2500, 8980, 2505, 8980, 95000, 7, 2835, 8985
2500, 8980, 2505, 8980, 95000, 8, 3239, 9045
2500, 8980, 2505, 8980, 95000, 9, 3643, 9101
2500, 8980, 2505, 8980, 95000, 10, 4047, 9078
2500, 8980, 2505, 8980, 95000, 11, 4451, 9065
2500, 8980, 2505, 8980, 95000, 12, 4855, 9058
2500, 8980, 2505, 8980, 95000, 13, 5259, 9058
2500, 8980, 2505, 8980, 95000, 14, 5663, 9064
2500, 8980, 2505, 8980, 95000, 15, 6067, 9067
2500, 8980, 2505, 8980, 95000, 16, 6471, 9068
2500, 8980, 2505, 8980, 95000, 17, 6875, 9058
2500, 8980, 2505, 8980, 95000, 18, 7279, 9062
2500, 8980, 2505, 8980, 95000, 19, 7683, 9062
2500, 8980, 2505, 8980, 95000, 20, 8087, 9059
2500, 8980, 2505, 8980, 95000, 21, 8491, 9055
2500, 8980, 2505, 8980, 95000, 22, 8895, 9053
2500, 8980, 2505, 8980, 95000, 23, 9299, 9050
2500, 8980, 2505, 8980, 95000, 24, 9703, 9041
2500, 8980, 2505, 8980, 95000, 25, 10107, 9035
2500, 8980, 2505, 8980, 95000, 26, 10511, 9030
2500, 8980, 2505, 8980, 95000, 27, 10915, 9030
2500, 8980, 2505, 8980, 95000, 28, 11319, 9030
2500, 8980, 2505, 8980, 95000, 29, 11723, 9030
2500, 8980, 2505, 8980, 95000, 30, 12127, 9030
2500, 8980, 2505, 8980, 95000, 31, 12531, 9030
2500, 8980, 2505, 8980, 95000, 32, 12935, 9030
2500, 8980, 2505, 8980, 95000, 33, 13339, 9030
2500, 8980, 2505, 8980, 95000, 34, 13743, 9030
2500, 8980, 2505, 8980, 95000, 35, 14147, 9030
2500, 8980, 2505, 8980, 95000, 36, 14551, 9030
2500, 8980, 2505, 8980, 95000, 37, 14955, 9030
2500, 8980, 2505, 8980, 95000, 38, 15359, 9030
2500, 8980, 2505, 8980, 95000, 39, 15763, 9030
2500, 8980, 2505, 8980, 95000, 40, 16167, 9030
2500, 8980, 2505, 8980, 95000, 41, 16571, 9030
2500, 8980, 2505, 8980, 95000, 42, 16975, 9030
2500, 8980, 2505, 8980, 95000, 43, 17379, 9030
2500, 8980, 2505, 8980, 95000, 44, 17783, 9030
2500, 8980, 2505, 8980, 95000, 45, 18187, 9030
2500, 8980, 2505, 8980, 95000, 46, 18591, 9030
2500, 8980, 2505, 8980, 95000, 47, 18995, 9030
2500, 8980, 2505, 8980, 95000, 48, 19399, 9030
2500, 8980, 2505, 8980, 95000, 49, 19803, 9030
2500, 8980, 2505, 8980, 95000, 50, 20207, 9030
2500, 8980, 2505, 8980, 95000, 51, 20207, 9030
2500, 8980, 2505, 8980, 95000, 52, 20207, 9030
2500, 8980, 2505, 8980, 95000, 53, 20207, 9030
2500, 8980, 2505, 8980, 95000, 54, 20207, 9030
2500, 8980, 2505, 8980, 95000, 55, 20207, 9030
2500, 8980, 2505, 8980, 95000, 56, 20207, 9030
2500, 8980, 2505, 8980, 95000, 57, 20207, 9030
2500, 8980, 2505, 8980, 95000, 58, 20207, 9030
2500, 8980, 2505, 8980, 95000, 59, 20207, 9030
2500, 8980, 2505, 8980, 95000, 60, 20207, 9030
2500, 8980, 2505, 8980, 95000, 61, 20207, 9030
2500, 8980, 2505, 8980, 95000, 62, 20207, 9030
2500, 8980, 2505, 8980, 95000, 63, 20207, 9030
2500, 8980, 2505, 8980, 95000, 64, 20207, 9030
2500, 8980, 2505, 8980, 95000, 65, 20207, 9030
2500, 8980, 2505, 8980, 95000, 66, 20207, 9030
2500, 8980, 2505, 8980, 95000, 67, 20207, 9030
2500, 8980, 2505, 8980, 95000, 68, 20207, 9030
2500, 8980, 2505, 8980, 95000, 69, 20207, 9030
2500, 8980, 2505, 8980, 95000, 70, 20207, 9030
2500, 8980, 2505, 8980, 95000, 71, 20207, 9030
2500, 8980, 2505, 8980, 95000, 72, 20207, 9030
2500, 8980, 2505, 8980, 95000, 73, 20207, 9030
2500, 8980, 2505, 8980, 95000, 74, 20207, 9030
2500, 8980, 2505, 8980, 95000, 75, 20207, 9030
2500, 8980, 2505, 8980, 95000, 76, 20207, 9030
2500, 8980, 2505, 8980, 95000, 77, 20207, 9030
2500, 8980, 2505, 8980, 95000, 78, 20207, 9030
2500, 8980, 2505, 8980, 95000, 79, 20207, 9030
2500, 8980, 2505, 8980, 95000, 80, 20207, 9030
2500, 8980, 2505, 8980, 95000, 81, 20207, 9030
2500, 8980, 2505, 8980, 95000, 82, 20207, 9030
2500, 8980, 2505, 8980, 95000, 83, 20207, 9030
2500, 8980, 2505, 8980, 95000, 84, 20207, 9030
2500, 8980, 2505, 8980, 95000, 85, 20207, 9030
2500, 8980, 2505, 8980, 95000, 86, 20207, 9030
